scale_km2,evidence_code,variant_a,variant_b,presence_jaccard,presence_mismatch_pct,spearman_counts_support,presence_a_pct,presence_b_pct
250,E10,OX25,OY25,0.5414491543119649,15.373844861383365,0.6398127578397436,26.358162979557548,25.322038644637356
250,E10,OX25,OXY25,0.6392113910186199,11.530383646037524,0.7365433753355489,26.358162979557548,26.029123494819377
250,E10,OY25,OXY25,0.5797975446909326,13.658639036684402,0.6786837259182116,25.322038644637356,26.029123494819377
500,E01,O00,OX25,0.7157894736842105,15.877905348641837,0.7504854305006993,47.48669840380846,48.368804256510785
500,E01,O00,OY25,0.735572673317338,14.65975917110053,0.7854383735015035,47.48669840380846,48.73284794175301
500,E01,O00,OXY25,0.6830297913400072,18.398207784934193,0.7193106943435197,47.48669840380846,50.20302436292356
500,E01,OX25,OY25,0.6885804723642561,17.908148977877346,0.7219532289123564,48.368804256510785,48.73284794175301
500,E01,OX25,OXY25,0.7475487154027554,14.239708765051805,0.7876006753202488,48.368804256510785,50.20302436292356
500,E01,OY25,OXY25,0.7301665034280117,15.429851582189864,0.769499713059801,48.73284794175301,50.20302436292356
500,E07,O00,OX25,0.5454153182308522,14.75077009241109,0.6365122018939583,24.85998319798376,25.287034444133294
500,E07,O00,OY25,0.6101321585903083,12.391486978437412,0.7002826891538414,24.85998319798376,26.31615793895267
500,E07,O00,OXY25,0.5090222408728493,16.38196583590031,0.5905478416543921,24.85998319798376,25.490058807056847
500,E07,OX25,OY25,0.5085959885386819,16.809017082049845,0.5885145966474864,25.287034444133294,26.31615793895267
500,E07,OX25,OXY25,0.6050011064394778,12.496499579949594,0.6881472153155902,25.287034444133294,25.490058807056847
500,E07,OY25,OXY25,0.5674645202287651,14.295715485858304,0.6538269849405796,26.31615793895267,25.490058807056847
500,E09,O00,OX25,0.4117647058823529,3.0103612433492017,0.5698849252106812,3.843461215345841,3.381405768692243
500,E09,O00,OY25,0.5324324324324324,2.4222906748809856,0.6844270846345708,3.843461215345841,4.0954914589750775
500,E09,O00,OXY25,0.3463969658659924,3.6194343321198543,0.4976172123624072,3.843461215345841,3.6124334920190426
500,E09,OX25,OY25,0.34002509410288584,3.6824418930271636,0.49272588790657,3.381405768692243,4.0954914589750775
500,E09,OX25,OXY25,0.5633802816901409,1.9532343881265752,0.7117932437850559,3.381405768692243,3.6124334920190426
500,E09,OY25,OXY25,0.43546284224250326,3.031363763651638,0.5922146599958354,4.0954914589750775,3.6124334920190426
500,E10,O00,OX25,0.6330147965474723,16.669000280033604,0.69402629163225,36.95743489218707,37.21646597591711
500,E10,O00,OY25,0.6785770750988143,14.232707924950994,0.7488470712967178,36.95743489218707,37.37048445813498
500,E10,O00,OXY25,0.5973451327433629,19.112293475217026,0.6540339871124281,36.95743489218707,38.861663399607956
500,E10,OX25,OY25,0.6100952093093547,18.06216746009521,0.6678463134519284,37.21646597591711,37.37048445813498
500,E10,OX25,OXY25,0.6945267425541868,13.714645757490898,0.7592308949120756,37.21646597591711,38.861663399607956
500,E10,OY25,OXY25,0.6685565430585351,15.142817138056566,0.726541322764837,37.37048445813498,38.861663399607956
1000,E01,O00,OX25,0.7984662576687117,13.798655838700643,0.7894581591825528,62.19546345561467,60.94231307756931
1000,E01,O00,OY25,0.8272866632600919,11.831419770372445,0.8113472324556358,62.19546345561467,62.97955754690563
1000,E01,O00,OXY25,0.762682975736916,16.570988518622233,0.737926645495223,62.19546345561467,60.88630635676281
1000,E01,OX25,OY25,0.7963263649279481,14.05068608232988,0.7614831352628095,60.94231307756931,62.97955754690563
1000,E01,OX25,OXY25,0.8204833141542003,12.01344161299356,0.8212774591381681,60.94231307756931,60.88630635676281
1000,E01,OY25,OXY25,0.8118791602662571,12.860543265191824,0.7877902796030462,62.97955754690563,60.88630635676281
1000,E07,O00,OX25,0.6257842844338213,17.537104452534304,0.6499532404593041,38.35060207224867,37.83954074488939
1000,E07,O00,OY25,0.6546957175056348,16.0879305516662,0.6837897169989494,38.35060207224867,38.742649117894146
1000,E07,O00,OXY25,0.5612977318403675,21.394567348081768,0.5745805815379046,38.35060207224867,37.7905348641837
1000,E07,OX25,OY25,0.5683154121863799,21.079529543545224,0.5831733241000518,37.83954074488939,38.742649117894146
1000,E07,OX25,OXY25,0.6520874751491054,15.926911229347521,0.6961312414008202,37.83954074488939,37.7905348641837
1000,E07,OY25,OXY25,0.6057579318448884,18.79025483057967,0.633327000090353,38.742649117894146,37.7905348641837
1000,E09,O00,OX25,0.3866481223922114,6.17474096891627,0.5171782250160916,6.909829179501541,7.049845981517783
1000,E09,O00,OY25,0.41730103806228375,5.894707364883786,0.5566218547913776,6.909829179501541,7.427891346961635
1000,E09,O00,OXY25,0.3246753246753247,7.2808737048445815,0.4466975228604027,6.909829179501541,7.371884626155138
1000,E09,OX25,OY25,0.3897849462365591,6.356762811537385,0.5254484485180765,7.049845981517783,7.427891346961635
1000,E09,OX25,OXY25,0.5036496350364964,4.760571268552226,0.6480847580073912,7.049845981517783,7.371884626155138
1000,E09,OY25,OXY25,0.5164992826398852,4.7185662279473535,0.6484809951551146,7.427891346961635,7.371884626155138
1000,E10,O00,OX25,0.725635593220339,16.318958274992998,0.7442596118600696,52.737328479417535,49.90198823858863
1000,E10,O00,OY25,0.7525443786982249,14.638756650798095,0.7870597228414771,52.737328479417535,50.93811257350882
1000,E10,O00,OXY25,0.6697258101065036,20.407448893867265,0.6820071806454504,52.737328479417535,50.43405208625035
1000,E10,OX25,OY25,0.6993865030674846,17.838140576869225,0.7135699589085127,49.90198823858863,50.93811257350882
1000,E10,OX25,OXY25,0.7374227179052006,15.163819658359005,0.78791008465607,49.90198823858863,50.43405208625035
1000,E10,OY25,OXY25,0.7041308697187243,17.600112013441613,0.7270744882430747,50.93811257350882,50.43405208625035
