well_id,municipality,hydro_unit,domain,layer_code,layer_name,depth_m,vertical_metadata_n,capture_interval_status
3500065054,Dourados,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,600.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053084,Miranda,Grupo Cuiaba,Fraturada,V06,Topo e base brutos coerentes,30.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027119,Caarapó,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500026917,Três Lagoas,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,34.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027282,Chapadão do Sul,Formação Cachoeirinha,Granular,V06,Topo e base brutos coerentes,100.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045668,Corguinho,Formação Aquidauana,Granular,V06,Topo e base brutos coerentes,90.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045682,Iguatemi,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,160.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053090,Maracaju,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,105.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065040,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,96.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065045,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,48.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065046,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,90.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065047,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,100.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065060,Ivinhema,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,100.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065072,Selvíria,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,96.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065009,Aral Moreira,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,130.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023356,Sete Quedas,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023368,Caarapó,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045694,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,116.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022928,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,606.22,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045646,Três Lagoas,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,100.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022824,Terenos,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,181.5,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022816,Sidrolândia,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,440.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022567,Costa Rica,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,93.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022930,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,501.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045662,Três Lagoas,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,200.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045700,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,78.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065031,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,65.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065039,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,560.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045691,Sidrolândia,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,120.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053083,Miranda,Grupo Cuiaba,Fraturada,V06,Topo e base brutos coerentes,38.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053086,Miranda,Formação Pantanal,Granular,V06,Topo e base brutos coerentes,40.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500026918,Ivinhema,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,80.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027077,Caarapó,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,100.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045670,Batayporã,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,120.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045703,Três Lagoas,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,138.26,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045711,Três Lagoas,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,162.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065044,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,40.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065070,Rio Verde de Mato Grosso,Formação Ponta Grossa,Granular,V06,Topo e base brutos coerentes,150.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065082,Três Lagoas,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,45.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065018,Bodoquena,Grupo Cuiaba,Fraturada,V06,Topo e base brutos coerentes,60.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065068,Rio Brilhante,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,266.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045692,Ponta Porã,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,150.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023143,Amambai,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,148.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023357,Sete Quedas,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023307,Inocência,Grupo Bauru,Granular,V06,Topo e base brutos coerentes,216.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027240,Angélica,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,350.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045154,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,50.0,3,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053094,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,215.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022863,Maracaju,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,230.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022883,Maracaju,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,198.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023148,Amambai,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,3371.0,1,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065119,Dourados,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,600.0,1,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045663,Ivinhema,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,90.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023138,Amambai,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500026925,Três Lagoas,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,80.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500026970,São Gabriel do Oeste,Grupo Bauru,Granular,V06,Topo e base brutos coerentes,80.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023150,Amambai,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,140.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023136,Laguna Carapã,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023245,Camapuã,Formação Botucatu,Granular,V06,Topo e base brutos coerentes,110.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023236,São Gabriel do Oeste,Grupo Bauru,Granular,V06,Topo e base brutos coerentes,83.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045606,Caarapó,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,722.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023316,Aparecida do Taboado,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,300.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023373,Naviraí,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,120.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022843,Dourados,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,793.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022484,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,138.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022508,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,100.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022538,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,100.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022568,Costa Rica,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,105.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022912,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,135.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065101,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,412.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065117,Dourados,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,2226.0,1,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022925,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,480.19,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022683,Amambai,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,148.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022686,Amambai,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,150.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023391,Terenos,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023335,Costa Rica,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,90.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023266,Rio Brilhante,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,306.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045697,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,123.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022534,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,150.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022682,Amambai,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,105.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022886,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,158.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022942,Campo Grande,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,178.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027143,Dourados,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,4161.5,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065121,Douradina,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,155.0,1,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022473,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,166.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500022535,Campo Grande,Formação Serra Geral,Fraturada,V06,Topo e base brutos coerentes,162.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065140,Ribas do Rio Pardo,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,215.0,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027247,Sidrolândia,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,88.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023378,Glória de Dourados,Grupo Caiuá,Granular,V06,Topo e base brutos coerentes,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
