well_id,latitude,longitude,municipality_declared,municipality_spatial,sgb2024_unit_aflorante,hydrolithologic_domain,question_code,question_name,direct_evidence_present,critical_requirements_n,critical_demonstrated_n,critical_review_n,critical_unknown_n,minimum_documentary_met,record_state,blocking_requirements_n,blocking_codes,representativeness_state,weight_used,score_used,cutoff_date,method_version
3500065054,-22.19166699999994,-54.69222199999996,Dourados,Dourados,Formação Serra Geral,Fraturada,Q01,Nível e profundidade da água,True,7,4,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q01_R03|Q01_R05|Q01_R06,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065054,-22.19166699999994,-54.69222199999996,Dourados,Dourados,Formação Serra Geral,Fraturada,Q02,Propriedades hidráulicas,True,9,4,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q02_R02|Q02_R03|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065054,-22.19166699999994,-54.69222199999996,Dourados,Dourados,Formação Serra Geral,Fraturada,Q03,Hidroquímica,True,9,5,1,3,False,EVIDENCIA_PARCIAL_COM_REVISAO,4,Q03_R02|Q03_R03|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065054,-22.19166699999994,-54.69222199999996,Dourados,Dourados,Formação Serra Geral,Fraturada,Q04,Geometria e estratigrafia do aquífero,True,6,3,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q04_R03|Q04_R04|Q04_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065054,-22.19166699999994,-54.69222199999996,Dourados,Dourados,Formação Serra Geral,Fraturada,Q05,Monitoramento temporal,True,8,3,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q05_R02|Q05_R04|Q05_R05|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053084,-20.143332999999927,-56.28333299999997,Miranda,Miranda,Grupo Cuiaba,Fraturada,Q01,Nível e profundidade da água,True,7,4,0,3,False,EVIDENCIA_PARCIAL,3,Q01_R03|Q01_R05|Q01_R06,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053084,-20.143332999999927,-56.28333299999997,Miranda,Miranda,Grupo Cuiaba,Fraturada,Q02,Propriedades hidráulicas,True,9,4,0,5,False,EVIDENCIA_PARCIAL,5,Q02_R02|Q02_R03|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053084,-20.143332999999927,-56.28333299999997,Miranda,Miranda,Grupo Cuiaba,Fraturada,Q03,Hidroquímica,True,9,5,0,4,False,EVIDENCIA_PARCIAL,4,Q03_R02|Q03_R03|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053084,-20.143332999999927,-56.28333299999997,Miranda,Miranda,Grupo Cuiaba,Fraturada,Q04,Geometria e estratigrafia do aquífero,True,6,3,0,3,False,EVIDENCIA_PARCIAL,3,Q04_R03|Q04_R04|Q04_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053084,-20.143332999999927,-56.28333299999997,Miranda,Miranda,Grupo Cuiaba,Fraturada,Q05,Monitoramento temporal,True,8,3,0,5,False,EVIDENCIA_PARCIAL,5,Q05_R02|Q05_R04|Q05_R05|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027119,-22.642499999999927,-54.82416699999993,Caarapó,Caarapó,Grupo Caiuá,Granular,Q01,Nível e profundidade da água,True,7,4,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q01_R03|Q01_R05|Q01_R06,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027119,-22.642499999999927,-54.82416699999993,Caarapó,Caarapó,Grupo Caiuá,Granular,Q02,Propriedades hidráulicas,True,9,4,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q02_R02|Q02_R03|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027119,-22.642499999999927,-54.82416699999993,Caarapó,Caarapó,Grupo Caiuá,Granular,Q03,Hidroquímica,True,9,5,1,3,False,EVIDENCIA_PARCIAL_COM_REVISAO,4,Q03_R02|Q03_R03|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027119,-22.642499999999927,-54.82416699999993,Caarapó,Caarapó,Grupo Caiuá,Granular,Q04,Geometria e estratigrafia do aquífero,True,6,3,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q04_R03|Q04_R04|Q04_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027119,-22.642499999999927,-54.82416699999993,Caarapó,Caarapó,Grupo Caiuá,Granular,Q05,Monitoramento temporal,True,8,3,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q05_R02|Q05_R04|Q05_R05|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500026917,-20.97083299999997,-51.839166999999975,Três Lagoas,Três Lagoas,Grupo Caiuá,Granular,Q01,Nível e profundidade da água,True,7,4,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q01_R03|Q01_R05|Q01_R06,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500026917,-20.97083299999997,-51.839166999999975,Três Lagoas,Três Lagoas,Grupo Caiuá,Granular,Q02,Propriedades hidráulicas,True,9,4,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q02_R02|Q02_R03|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500026917,-20.97083299999997,-51.839166999999975,Três Lagoas,Três Lagoas,Grupo Caiuá,Granular,Q03,Hidroquímica,True,9,5,1,3,False,EVIDENCIA_PARCIAL_COM_REVISAO,4,Q03_R02|Q03_R03|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500026917,-20.97083299999997,-51.839166999999975,Três Lagoas,Três Lagoas,Grupo Caiuá,Granular,Q04,Geometria e estratigrafia do aquífero,True,6,3,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q04_R03|Q04_R04|Q04_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500026917,-20.97083299999997,-51.839166999999975,Três Lagoas,Três Lagoas,Grupo Caiuá,Granular,Q05,Monitoramento temporal,True,8,3,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q05_R02|Q05_R04|Q05_R05|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027282,-18.807777999999928,-52.62555599999996,Chapadão do Sul,Chapadão do Sul,Formação Cachoeirinha,Granular,Q01,Nível e profundidade da água,True,7,4,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q01_R03|Q01_R05|Q01_R06,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027282,-18.807777999999928,-52.62555599999996,Chapadão do Sul,Chapadão do Sul,Formação Cachoeirinha,Granular,Q02,Propriedades hidráulicas,True,9,4,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q02_R02|Q02_R03|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027282,-18.807777999999928,-52.62555599999996,Chapadão do Sul,Chapadão do Sul,Formação Cachoeirinha,Granular,Q03,Hidroquímica,True,9,5,1,3,False,EVIDENCIA_PARCIAL_COM_REVISAO,4,Q03_R02|Q03_R03|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027282,-18.807777999999928,-52.62555599999996,Chapadão do Sul,Chapadão do Sul,Formação Cachoeirinha,Granular,Q04,Geometria e estratigrafia do aquífero,True,6,3,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q04_R03|Q04_R04|Q04_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500027282,-18.807777999999928,-52.62555599999996,Chapadão do Sul,Chapadão do Sul,Formação Cachoeirinha,Granular,Q05,Monitoramento temporal,True,8,3,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q05_R02|Q05_R04|Q05_R05|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045668,-19.67722199999997,-55.08277799999996,Corguinho,Corguinho,Formação Aquidauana,Granular,Q01,Nível e profundidade da água,True,7,5,0,2,False,EVIDENCIA_PARCIAL,2,Q01_R03|Q01_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045668,-19.67722199999997,-55.08277799999996,Corguinho,Corguinho,Formação Aquidauana,Granular,Q02,Propriedades hidráulicas,True,9,5,0,4,False,EVIDENCIA_PARCIAL,4,Q02_R02|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045668,-19.67722199999997,-55.08277799999996,Corguinho,Corguinho,Formação Aquidauana,Granular,Q03,Hidroquímica,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q03_R02|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045668,-19.67722199999997,-55.08277799999996,Corguinho,Corguinho,Formação Aquidauana,Granular,Q04,Geometria e estratigrafia do aquífero,True,6,4,0,2,False,EVIDENCIA_PARCIAL,2,Q04_R03|Q04_R04,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045668,-19.67722199999997,-55.08277799999996,Corguinho,Corguinho,Formação Aquidauana,Granular,Q05,Monitoramento temporal,True,8,4,0,4,False,EVIDENCIA_PARCIAL,4,Q05_R02|Q05_R04|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045682,-23.67972199999997,-54.57472199999995,Iguatemi,Iguatemi,Grupo Caiuá,Granular,Q01,Nível e profundidade da água,True,7,5,0,2,False,EVIDENCIA_PARCIAL,2,Q01_R03|Q01_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045682,-23.67972199999997,-54.57472199999995,Iguatemi,Iguatemi,Grupo Caiuá,Granular,Q02,Propriedades hidráulicas,True,9,5,0,4,False,EVIDENCIA_PARCIAL,4,Q02_R02|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045682,-23.67972199999997,-54.57472199999995,Iguatemi,Iguatemi,Grupo Caiuá,Granular,Q03,Hidroquímica,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q03_R02|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045682,-23.67972199999997,-54.57472199999995,Iguatemi,Iguatemi,Grupo Caiuá,Granular,Q04,Geometria e estratigrafia do aquífero,True,6,4,0,2,False,EVIDENCIA_PARCIAL,2,Q04_R03|Q04_R04,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500045682,-23.67972199999997,-54.57472199999995,Iguatemi,Iguatemi,Grupo Caiuá,Granular,Q05,Monitoramento temporal,True,8,4,0,4,False,EVIDENCIA_PARCIAL,4,Q05_R02|Q05_R04|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053090,-21.61388899999997,-55.194999999999936,Maracaju,Maracaju,Formação Serra Geral,Fraturada,Q01,Nível e profundidade da água,True,7,4,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q01_R03|Q01_R05|Q01_R06,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053090,-21.61388899999997,-55.194999999999936,Maracaju,Maracaju,Formação Serra Geral,Fraturada,Q02,Propriedades hidráulicas,True,9,4,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q02_R02|Q02_R03|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053090,-21.61388899999997,-55.194999999999936,Maracaju,Maracaju,Formação Serra Geral,Fraturada,Q03,Hidroquímica,True,9,5,1,3,False,EVIDENCIA_PARCIAL_COM_REVISAO,4,Q03_R02|Q03_R03|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053090,-21.61388899999997,-55.194999999999936,Maracaju,Maracaju,Formação Serra Geral,Fraturada,Q04,Geometria e estratigrafia do aquífero,True,6,3,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q04_R03|Q04_R04|Q04_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500053090,-21.61388899999997,-55.194999999999936,Maracaju,Maracaju,Formação Serra Geral,Fraturada,Q05,Monitoramento temporal,True,8,3,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q05_R02|Q05_R04|Q05_R05|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065040,-20.46222199999994,-54.61638899999997,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q01,Nível e profundidade da água,True,7,5,0,2,False,EVIDENCIA_PARCIAL,2,Q01_R03|Q01_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065040,-20.46222199999994,-54.61638899999997,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q02,Propriedades hidráulicas,True,9,5,0,4,False,EVIDENCIA_PARCIAL,4,Q02_R02|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065040,-20.46222199999994,-54.61638899999997,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q03,Hidroquímica,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q03_R02|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065040,-20.46222199999994,-54.61638899999997,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q04,Geometria e estratigrafia do aquífero,True,6,4,0,2,False,EVIDENCIA_PARCIAL,2,Q04_R03|Q04_R04,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065040,-20.46222199999994,-54.61638899999997,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q05,Monitoramento temporal,True,8,4,0,4,False,EVIDENCIA_PARCIAL,4,Q05_R02|Q05_R04|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065045,-20.46861099999996,-54.716388999999936,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q01,Nível e profundidade da água,True,7,5,0,2,False,EVIDENCIA_PARCIAL,2,Q01_R03|Q01_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065045,-20.46861099999996,-54.716388999999936,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q02,Propriedades hidráulicas,True,9,5,0,4,False,EVIDENCIA_PARCIAL,4,Q02_R02|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065045,-20.46861099999996,-54.716388999999936,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q03,Hidroquímica,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q03_R02|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065045,-20.46861099999996,-54.716388999999936,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q04,Geometria e estratigrafia do aquífero,True,6,4,0,2,False,EVIDENCIA_PARCIAL,2,Q04_R03|Q04_R04,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065045,-20.46861099999996,-54.716388999999936,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q05,Monitoramento temporal,True,8,4,0,4,False,EVIDENCIA_PARCIAL,4,Q05_R02|Q05_R04|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065046,-20.44222199999996,-54.67277799999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q01,Nível e profundidade da água,True,7,5,0,2,False,EVIDENCIA_PARCIAL,2,Q01_R03|Q01_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065046,-20.44222199999996,-54.67277799999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q02,Propriedades hidráulicas,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q02_R02|Q02_R06|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065046,-20.44222199999996,-54.67277799999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q03,Hidroquímica,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q03_R02|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065046,-20.44222199999996,-54.67277799999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q04,Geometria e estratigrafia do aquífero,True,6,4,0,2,False,EVIDENCIA_PARCIAL,2,Q04_R03|Q04_R04,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065046,-20.44222199999996,-54.67277799999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q05,Monitoramento temporal,True,8,4,0,4,False,EVIDENCIA_PARCIAL,4,Q05_R02|Q05_R04|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065047,-20.48416699999996,-54.74916699999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q01,Nível e profundidade da água,True,7,5,0,2,False,EVIDENCIA_PARCIAL,2,Q01_R03|Q01_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065047,-20.48416699999996,-54.74916699999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q02,Propriedades hidráulicas,True,9,5,0,4,False,EVIDENCIA_PARCIAL,4,Q02_R02|Q02_R06|Q02_R07|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065047,-20.48416699999996,-54.74916699999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q03,Hidroquímica,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q03_R02|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065047,-20.48416699999996,-54.74916699999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q04,Geometria e estratigrafia do aquífero,True,6,4,0,2,False,EVIDENCIA_PARCIAL,2,Q04_R03|Q04_R04,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065047,-20.48416699999996,-54.74916699999994,Campo Grande,Campo Grande,Formação Serra Geral,Fraturada,Q05,Monitoramento temporal,True,8,4,0,4,False,EVIDENCIA_PARCIAL,4,Q05_R02|Q05_R04|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065060,-22.33888899999993,-53.84249999999997,Ivinhema,Ivinhema,Grupo Caiuá,Granular,Q01,Nível e profundidade da água,True,7,5,0,2,False,EVIDENCIA_PARCIAL,2,Q01_R03|Q01_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065060,-22.33888899999993,-53.84249999999997,Ivinhema,Ivinhema,Grupo Caiuá,Granular,Q02,Propriedades hidráulicas,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q02_R02|Q02_R06|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065060,-22.33888899999993,-53.84249999999997,Ivinhema,Ivinhema,Grupo Caiuá,Granular,Q03,Hidroquímica,True,9,6,0,3,False,EVIDENCIA_PARCIAL,3,Q03_R02|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065060,-22.33888899999993,-53.84249999999997,Ivinhema,Ivinhema,Grupo Caiuá,Granular,Q04,Geometria e estratigrafia do aquífero,True,6,4,0,2,False,EVIDENCIA_PARCIAL,2,Q04_R03|Q04_R04,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065060,-22.33888899999993,-53.84249999999997,Ivinhema,Ivinhema,Grupo Caiuá,Granular,Q05,Monitoramento temporal,True,8,4,0,4,False,EVIDENCIA_PARCIAL,4,Q05_R02|Q05_R04|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065072,-20.361943999999937,-51.426943999999935,Selvíria,Selvíria,Grupo Caiuá,Granular,Q01,Nível e profundidade da água,True,7,4,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q01_R03|Q01_R05|Q01_R06,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065072,-20.361943999999937,-51.426943999999935,Selvíria,Selvíria,Grupo Caiuá,Granular,Q02,Propriedades hidráulicas,True,9,5,1,3,False,EVIDENCIA_PARCIAL_COM_REVISAO,4,Q02_R02|Q02_R03|Q02_R06|Q02_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065072,-20.361943999999937,-51.426943999999935,Selvíria,Selvíria,Grupo Caiuá,Granular,Q03,Hidroquímica,True,9,5,1,3,False,EVIDENCIA_PARCIAL_COM_REVISAO,4,Q03_R02|Q03_R03|Q03_R07|Q03_R08,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065072,-20.361943999999937,-51.426943999999935,Selvíria,Selvíria,Grupo Caiuá,Granular,Q04,Geometria e estratigrafia do aquífero,True,6,3,1,2,False,EVIDENCIA_PARCIAL_COM_REVISAO,3,Q04_R03|Q04_R04|Q04_R05,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
3500065072,-20.361943999999937,-51.426943999999935,Selvíria,Selvíria,Grupo Caiuá,Granular,Q05,Monitoramento temporal,True,8,3,1,4,False,EVIDENCIA_PARCIAL_COM_REVISAO,5,Q05_R02|Q05_R04|Q05_R05|Q05_R06|Q05_R07,NAO_AVALIAVEL_NO_NIVEL_DO_REGISTRO,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
